NAME,PRICE,CUISINE_CATEGORY,CITY,REGION,URL,PAGE NO,OUTLET_TYPE,TIMING,REVIEWS,RATING,VOTES
Nisarg Family Restaurant,650.0,"North Indian,Chinese",Mumbai,Thane,https://www.zomato.com/mumbai/nisarg-family-restaurant-upvan-thane-west-thane/info,557,Casual Dining,"12noon to 3pm,7pm to 12midnight(Mon-Sun)",Average,2.9,14.0
FNP Cakes N More,500.0,"Bakery,Desserts",Mumbai,Airoli,https://www.zomato.com/mumbai/fnp-cakes-n-more-1-airoli-navi-mumbai/info,557,Bakery,9am to 11pm(Mon-Sun),Good,3.5,13.0
Foodball,600.0,"Bengali,Mughlai,North Indian,Chinese",Mumbai,Kharghar,https://www.zomato.com/mumbai/foodball-kharghar-navi-mumbai/info,558,Casual Dining,12noon to 11pm(Mon-Sun),Average,3.2,40.0
Raghukrupa Sweets,200.0,"Mithai,Street Food",Mumbai,Andheri,https://www.zomato.com/mumbai/raghukrupa-sweets-2-near-andheri-east-station/info,558,Sweet Shop,8am to 9pm(Mon-Sun),Average,3.0,4.0
Ajit Palace Family Restaurant,550.0,"North Indian,Chinese,Mughlai,Malwani,Seafood",Mumbai,Kharghar,https://www.zomato.com/mumbai/ajit-palace-family-restaurant-kharghar-navi-mumbai/info,558,Casual Dining,12noon to 12midnight(Mon-Sun),Average,3.3,54.0
Ambar Restaurant & Bar,700.0,"North Indian,Chinese",Mumbai,Vashi,https://www.zomato.com/mumbai/ambar-restaurant-bar-vashi-navi-mumbai/info,558,Casual Dining,11am to 12midnight(Mon-Sun),Average,2.9,26.0
Dikshants Delicious,350.0,Chinese,Mumbai,Mira Road,https://www.zomato.com/mumbai/dikshants-delicious-mira-road/info,558,Quick Bites,"11am to 4pm,6pm to 1130pm(Mon-Sun)",Average,3.3,21.0
Hotel Rajesh,300.0,"North Indian,South Indian,Chinese",Mumbai,Andheri,https://www.zomato.com/mumbai/hotel-rajesh-mahakali/info,558,Quick Bites,9am to 12midnight(Mon-Sun),Average,2.8,17.0
Hotel Prakash,450.0,"South Indian,North Indian,Chinese,Street Food,Beverages",Mumbai,Ghatkopar,https://www.zomato.com/mumbai/hotel-prakash-ghatkopar-east/info,558,Casual Dining,"Closed(Mon),8am to 11pm(Tue-Sun)",Average,3.3,63.0
Hotel Sahyadri,500.0,"Mughlai,Chinese,Seafood",Mumbai,Parel,https://www.zomato.com/mumbai/hotel-sahyadri-parel/info,558,Casual Dining,"11am to 4pm,7pm to 11pm(Mon-Sun)",Average,3.3,34.0
Akashwani MLA Hostel Canteen,400.0,"Chinese,Fast Food",Mumbai,Churchgate,https://www.zomato.com/mumbai/akashwani-mla-hostel-canteen-churchgate/info,558,Casual Dining,7am to 10pm(Mon-Sun),Average,2.8,19.0
Star Biryani,450.0,"Biryani,North Indian,Chinese",Mumbai,Vashi,https://www.zomato.com/mumbai/star-biryani-vashi-navi-mumbai/info,558,Casual Dining,"12noon to 3pm,7pm to 10pm(Mon-Sun)",Good,3.5,47.0
